DataSet/Point,Distance,Al,Si,K ,P ,Ca,Ti,Mn,Ba,Th,U ,Fe,O ,Total,Al,Si,K ,P ,Ca,Ti,Mn,Ba,Th,U ,Fe,O ,Total,Al2O3,SiO2,K2O,P2O5,CaO,TiO2,MnO,BaO,ThO2,UO2,FeO,Total,Al,Si,K ,P ,Ca,Ti,Mn,Ba,Th,U ,Fe,O , X , Y , Z , Beam X , Beam Y ,Comment,Distance (?),Mean Z,Point#,Date
1 / 97 . ,192,0.048494,0.030221,0.001273,0.00001,0.00001,0.00001,0.00001,0.029679,0.00001,0.046028,70.48689,20.28171,90.92435,0.070953,0.04248,0.001285,0.000013,0.00001,0.000008,0.000007,0.008532,0.000002,0.007634,49.82659,50.04249,100,0.091628,0.064655,0.001534,0.000023,0.000014,0.000017,0.000013,0.033136,0.000011,0.052216,90.6811,90.92435,110,99,149,,,,,596,,522,1259,,-16617.9,-22754.8,42, , ,H-24B-Profile1,192.09,20.01889,97,"Monday, April 17, 2023 10:18:46 PM"
1 / 98 . ,194,0.028777,0.034088,0.00001,0.00023,0.00001,0.00001,0.00001,0.013892,0.00001,0.043851,70.58488,20.29455,91.00033,0.042075,0.047881,0.00001,0.000293,0.00001,0.000008,0.000007,0.003991,0.000002,0.007268,49.86015,50.03831,100,0.054375,0.072928,0.000012,0.000527,0.000014,0.000017,0.000013,0.015511,0.000011,0.049746,90.80717,91.00033,107,98,,200,,,,606,,519,1284,,-16615.9,-22754.6,42, , ,H-24B-Profile1,194.09,20.03232,98,"Monday, April 17, 2023 10:23:34 PM"
1 / 99 . ,196,0.050602,0.061828,0.00001,0.00001,0.004927,0.00001,0.009265,0.018311,0.00001,0.046204,69.83681,20.13645,90.16444,0.074608,0.087576,0.00001,0.000013,0.004891,0.000008,0.006709,0.005304,0.000002,0.007722,49.74685,50.06631,100,0.095612,0.132273,0.000012,0.000023,0.006895,0.000017,0.011963,0.020444,0.000011,0.052416,89.84477,90.16444,117,104,,,217,,303,596,,513,1241,,-16613.9,-22754.4,42, , ,H-24B-Profile1,196.09,19.8398,99,"Monday, April 17, 2023 10:28:22 PM"
1 / 100 . ,198,0.295642,0.054008,0.003272,0.000824,0.00001,0.00001,0.00001,0.00001,0.00001,0.027729,70.2895,20.46764,91.13866,0.429533,0.075383,0.00328,0.001043,0.00001,0.000008,0.000007,0.000003,0.000002,0.004567,49.33884,50.14732,100,0.558613,0.115542,0.003941,0.001889,0.000014,0.000017,0.000013,0.000011,0.000011,0.031457,90.42715,91.13866,118,102,152,218,,,,,,518,1276,,-16611.9,-22754.2,42, , ,H-24B-Profile1,198.09,19.98495,100,"Monday, April 17, 2023 10:33:13 PM"
1 / 101 . ,200,0.033564,0.037665,0.000319,0.000922,0.00662,0.000321,0.00001,0.017074,0.007669,0.016035,69.6375,20.03296,89.79066,0.049718,0.0536,0.000326,0.00119,0.006602,0.000268,0.000007,0.004969,0.001321,0.002692,49.83712,50.04218,100,0.063418,0.08058,0.000384,0.002113,0.009263,0.000535,0.000013,0.019063,0.008727,0.018191,89.58837,89.79066,121,107,155,246,217,195,,582,465,512,1246,,-16609.9,-22754,42, , ,H-24B-Profile1,200.09,19.75084,101,"Monday, April 17, 2023 10:37:59 PM"
1 / 102 . ,202,0.02516,0.036884,0.00001,0.005368,0.00001,0.00001,0.00001,0.00001,0.004985,0.034805,71.22312,20.48186,91.81223,0.036453,0.05134,0.00001,0.006775,0.00001,0.000008,0.000007,0.000003,0.00084,0.005716,49.85569,50.04315,100,0.047539,0.07891,0.000012,0.0123,0.000014,0.000017,0.000013,0.000011,0.005672,0.039484,91.62826,91.81223,122,106,,233,,,,,437,478,1272,,-16607.9,-22753.8,42, , ,H-24B-Profile1,202.09,20.20232,102,"Monday, April 17, 2023 10:42:46 PM"
1 / 103 . ,204,0.033941,0.035399,0.00001,0.007194,0.00001,0.00001,0.00001,0.033283,0.007876,0.064093,69.8927,20.11739,90.19191,0.050074,0.050172,0.00001,0.009245,0.00001,0.000008,0.000007,0.009648,0.001351,0.010719,49.81818,50.05058,100,0.064131,0.075732,0.000012,0.016484,0.000014,0.000017,0.000013,0.037161,0.008962,0.07271,89.91668,90.19191,114,104,,250,,,,546,380,416,1267,,-16605.9,-22753.6,42, , ,H-24B-Profile1,204.09,19.87664,103,"Monday, April 17, 2023 10:47:34 PM"
1 / 104 . ,206,0.011745,0.013742,0.00001,0.017814,0.00001,0.00001,0.012663,0.005397,0.00558,0.081388,71.34199,20.50434,91.99468,0.016996,0.019105,0.00001,0.022456,0.00001,0.000008,0.009,0.001534,0.000939,0.013351,49.8788,50.03779,100,0.022191,0.0294,0.000012,0.040819,0.000014,0.000017,0.016351,0.006026,0.00635,0.09233,91.78117,91.99468,125,109,,234,,,306,520,322,355,1266,,-16603.9,-22753.4,42, , ,H-24B-Profile1,206.1,20.28148,104,"Monday, April 17, 2023 10:52:22 PM"
1 / 105 . ,208,0.229748,0.237493,0.009796,0.027364,0.001722,0.003152,0.001382,0.00001,0.00001,0.055251,69.61848,20.46833,90.65275,0.334665,0.332349,0.009847,0.034722,0.001689,0.002586,0.000989,0.000003,0.000002,0.009123,48.99475,50.27928,100,0.434107,0.508087,0.0118,0.062702,0.00241,0.005258,0.001784,0.000011,0.000011,0.062679,89.5639,90.65275,122,108,158,247,211,198,311,,,446,1299,,-16602,-22753.2,42, , ,H-24B-Profile1,208.1,19.85958,105,"Monday, April 17, 2023 10:57:09 PM"
1 / 106 . ,210,0.934488,0.848143,0.045031,0.047095,0.008369,0.008992,0.014443,0.010932,0.016297,0.086498,68.91421,21.63995,92.57444,1.304415,1.137354,0.043378,0.057265,0.007864,0.00707,0.009901,0.002998,0.002645,0.013686,46.47484,50.93859,100,1.765708,1.814495,0.054245,0.107914,0.01171,0.014999,0.018649,0.012206,0.018544,0.098126,88.65784,92.57444,124,108,142,201,177,201,313,517,322,350,1270,,-16600,-22753,42, , ,H-24B-Profile1,210.1,20.01236,106,"Monday, April 17, 2023 11:01:56 PM"
1 / 107 . ,212,0.119801,0.082193,0.003211,0.003714,0.00001,0.003479,0.015367,0.018478,0.00001,0.040742,71.3556,20.66319,92.30579,0.172273,0.113547,0.003186,0.004653,0.00001,0.002818,0.010852,0.00522,0.000002,0.006641,49.57353,50.10727,99.99999,0.226364,0.175842,0.003868,0.008511,0.000014,0.005803,0.019842,0.02063,0.000011,0.046219,91.79869,92.30579,107,96,145,202,,198,307,603,,516,1278,,-16598,-22752.8,42, , ,H-24B-Profile1,212.1,20.28621,107,"Monday, April 17, 2023 11:06:45 PM"
1 / 108 . ,214,0.076403,0.062743,0.001443,0.004074,0.005324,0.004411,0.008513,0.007637,0.008679,0.050047,70.85878,20.46213,91.55019,0.110889,0.087484,0.001446,0.005151,0.005202,0.003606,0.006068,0.002178,0.001465,0.008234,49.68665,50.08162,100,0.144362,0.13423,0.001739,0.009336,0.00745,0.007358,0.010992,0.008526,0.009876,0.056776,91.15954,91.55019,110,96,153,208,220,190,310,607,485,525,1250,,-16596,-22752.6,42, , ,H-24B-Profile1,214.1,20.14215,108,"Monday, April 17, 2023 11:11:33 PM"
1 / 109 . ,216,0.055909,0.051424,0.004011,0.008783,0.00001,0.000679,0.00001,0.025155,0.018138,0.062361,70.01043,20.19247,90.42937,0.082212,0.072645,0.00407,0.01125,0.00001,0.000562,0.000007,0.007267,0.003101,0.010394,49.73715,50.07133,100,0.10564,0.110016,0.004832,0.020125,0.000014,0.001132,0.000013,0.028086,0.02064,0.070745,90.06814,90.42937,113,102,159,234,,195,,594,467,513,1286,,-16594,-22752.4,42, , ,H-24B-Profile1,216.1,19.92259,109,"Monday, April 17, 2023 11:16:21 PM"
1 / 110 . ,218,0.282163,0.250427,0.00273,0.011011,0.00001,0.006807,0.025518,0.00001,0.00001,0.034686,68.01091,20.05259,88.67687,0.419706,0.357859,0.002802,0.014268,0.00001,0.005703,0.018642,0.000003,0.000002,0.005848,48.87553,50.29963,100,0.533145,0.535757,0.003288,0.025232,0.000014,0.011354,0.03295,0.000011,0.000011,0.03935,87.49576,88.67687,115,104,162,253,,191,293,,,473,1255,,-16592,-22752.2,42, , ,H-24B-Profile1,218.1,19.40076,110,"Monday, April 17, 2023 11:21:08 PM"
1 / 111 . ,220,0.43121,0.339606,0.001366,0.015539,0.00001,0.005835,0.008126,0.00001,0.016816,0.066143,69.66145,20.76605,91.31216,0.620773,0.469683,0.001357,0.019487,0.00001,0.004732,0.005745,0.000003,0.002815,0.010794,48.45112,50.41348,100,0.814768,0.726545,0.001646,0.035607,0.000014,0.009733,0.010492,0.000011,0.019135,0.075035,89.61919,91.31217,112,103,156,253,,191,313,,422,457,1256,,-16590,-22752,42, , ,H-24B-Profile1,220.1,19.95876,111,"Monday, April 17, 2023 11:25:58 PM"
