DataSet/Point,Distance,Al,Si,K ,P ,Ca,Ti,Mn,Ba,Th,U ,Fe,O ,Total,Al,Si,K ,P ,Ca,Ti,Mn,Ba,Th,U ,Fe,O ,Total,Al2O3,SiO2,K2O,P2O5,CaO,TiO2,MnO,BaO,ThO2,UO2,FeO,Total,Al,Si,K ,P ,Ca,Ti,Mn,Ba,Th,U ,Fe,O , X , Y , Z , Beam X , Beam Y ,Comment,Distance (?),Mean Z,Point#,Date
1 / 30 . ,58,0.15754,0.039103,0.00001,0.004647,0.00001,0.005919,0.00001,0.025869,0.00001,0.060835,69.82366,20.21004,90.32765,0.231575,0.05522,0.00001,0.005951,0.00001,0.004901,0.000007,0.007471,0.000002,0.010137,49.58723,50.09748,100,0.297672,0.083656,0.000012,0.010649,0.000014,0.009874,0.000013,0.028883,0.000011,0.069013,89.82785,90.32765,114,102,,200,,191,,583,,497,1252,,-16751.3,-22768.2,42, , ,H-24B-Profile1,58.03,19.86938,30,"Monday, April 17, 2023 4:56:40 PM"
1 / 31 . ,60,0.142683,0.03685,0.00001,0.00001,0.00001,0.004398,0.00001,0.00001,0.005969,0.04716,69.99472,20.23223,90.46406,0.209451,0.051968,0.00001,0.000013,0.00001,0.003636,0.000007,0.000003,0.001019,0.007847,49.64143,50.0846,100,0.269598,0.078837,0.000012,0.000023,0.000014,0.007335,0.000013,0.000011,0.006792,0.0535,90.04792,90.46406,108,96,,,,195,,,473,509,1252,,-16749.3,-22768,42, , ,H-24B-Profile1,60.03,19.89065,31,"Monday, April 17, 2023 5:01:31 PM"
1 / 32 . ,62,0.081904,0.024365,0.00001,0.001921,0.006806,0.001392,0.00001,0.00001,0.008947,0.052616,69.42286,20.00442,89.60526,0.121529,0.034732,0.00001,0.002483,0.006799,0.001163,0.000007,0.000003,0.001544,0.00885,49.7675,50.05539,100,0.154757,0.052125,0.000012,0.004401,0.009523,0.002321,0.000013,0.000011,0.01018,0.05969,89.31223,89.60526,80,72,,192,215,188,,,480,511,1225,,-16747.3,-22767.8,42, , ,H-24B-Profile1,62.03,19.72278,32,"Monday, April 17, 2023 5:06:19 PM"
1 / 33 . ,64,0.079373,0.0364,0.00001,0.010796,0.00001,0.002773,0.006955,0.015385,0.00001,0.048225,68.03854,19.63094,87.86942,0.120055,0.052893,0.00001,0.014225,0.00001,0.002363,0.005166,0.004572,0.000002,0.008268,49.72,50.07244,100,0.149975,0.077874,0.000012,0.024739,0.000014,0.004625,0.00898,0.017178,0.000011,0.054708,87.5313,87.86942,97,90,,224,,188,295,603,,506,1246,,-16745.3,-22767.6,42, , ,H-24B-Profile1,64.03,19.33287,33,"Monday, April 17, 2023 5:11:09 PM"
1 / 34 . ,66,0.078114,0.040878,0.001938,0.012236,0.00001,0.00001,0.019541,0.00001,0.00001,0.061339,68.93791,19.89664,89.04865,0.116579,0.05861,0.001996,0.015908,0.00001,0.000008,0.014323,0.000003,0.000002,0.010377,49.70711,50.07508,100,0.147596,0.087454,0.002335,0.028039,0.000014,0.000017,0.025232,0.000011,0.000011,0.069586,88.68835,89.04865,107,95,155,222,,,291,,,499,1248,,-16743.3,-22767.4,42, , ,H-24B-Profile1,66.03,19.59501,34,"Monday, April 17, 2023 5:15:56 PM"
1 / 35 . ,68,0.035073,0.038142,0.007284,0.010916,0.006507,0.001386,0.006826,0.008611,0.00001,0.0613,68.90519,19.84606,88.92731,0.052457,0.054804,0.007518,0.014222,0.006551,0.001167,0.005014,0.00253,0.000002,0.010393,49.79026,50.05509,100,0.066271,0.081599,0.008774,0.025013,0.009104,0.002311,0.008814,0.009614,0.000011,0.069541,88.64625,88.92731,109,98,154,234,216,188,292,600,,499,1256,,-16741.3,-22767.2,42, , ,H-24B-Profile1,68.03,19.58049,35,"Monday, April 17, 2023 5:20:43 PM"
1 / 36 . ,70,0.104438,0.023263,0.00001,0.00001,0.00001,0.005492,0.014573,0.00001,0.00001,0.0775,70.75919,20.40998,91.39449,0.151909,0.032507,0.00001,0.000013,0.00001,0.0045,0.010411,0.000003,0.000002,0.012778,49.72498,50.06287,100,0.197335,0.049769,0.000012,0.000023,0.000014,0.009161,0.018817,0.000011,0.000011,0.087919,91.03141,91.39449,120,104,,,,194,297,,,493,1284,,-16739.3,-22767,42, , ,H-24B-Profile1,70.03,20.12319,36,"Monday, April 17, 2023 5:25:31 PM"
1 / 37 . ,72,0.114496,0.026367,0.00001,0.002951,0.00001,0.00001,0.001982,0.00001,0.00001,0.041888,71.10458,20.5131,91.8054,0.165712,0.036661,0.00001,0.00372,0.00001,0.000008,0.001409,0.000003,0.000002,0.006872,49.7196,50.06599,100,0.216339,0.056408,0.000012,0.006761,0.000014,0.000017,0.002559,0.000011,0.000011,0.047519,91.47575,91.80541,115,103,,214,,,312,,,511,1259,,-16737.3,-22766.8,42, , ,H-24B-Profile1,72.03,20.18631,37,"Monday, April 17, 2023 5:30:19 PM"
1 / 38 . ,74,0.066283,0.035207,0.00001,0.007612,0.00001,0.00001,0.003886,0.021286,0.00001,0.051015,69.98889,20.17092,90.34514,0.09755,0.049779,0.00001,0.009759,0.00001,0.000008,0.002809,0.006155,0.000002,0.008511,49.76455,50.06086,100,0.125242,0.075322,0.000012,0.017443,0.000014,0.000017,0.005018,0.023766,0.000011,0.057874,90.04042,90.34514,96,86,,198,,,308,602,,511,1244,,-16735.3,-22766.6,42, , ,H-24B-Profile1,74.03,19.88531,38,"Monday, April 17, 2023 5:35:07 PM"
1 / 39 . ,76,0.047553,0.027399,0.00001,0.00001,0.00408,0.00001,0.00001,0.00001,0.00001,0.078314,69.59749,20.0251,89.77999,0.07047,0.039007,0.00001,0.000013,0.004071,0.000008,0.000007,0.000003,0.000002,0.013155,49.82954,50.04371,100,0.089851,0.058617,0.000012,0.000023,0.005709,0.000017,0.000013,0.000011,0.000011,0.088842,89.53689,89.77999,100,92,,,219,,,,,504,1260,,-16733.4,-22766.4,42, , ,H-24B-Profile1,76.04,19.78026,39,"Monday, April 17, 2023 5:39:56 PM"
1 / 40 . ,78,0.056296,0.037317,0.003891,0.003986,0.00001,0.002338,0.020607,0.021619,0.010482,0.06227,69.70837,20.08961,90.0168,0.083182,0.052971,0.003967,0.005131,0.00001,0.001946,0.014954,0.006276,0.001801,0.01043,49.76211,50.05722,99.99999,0.106372,0.079835,0.004687,0.009135,0.000014,0.0039,0.026609,0.024138,0.011927,0.070642,89.67954,90.0168,114,102,149,215,,186,294,606,471,500,1252,,-16731.4,-22766.2,42, , ,H-24B-Profile1,78.04,19.82972,40,"Monday, April 17, 2023 5:44:44 PM"
1 / 41 . ,80,0.118201,0.10264,0.000701,0.00001,0.00001,0.001977,0.00001,0.005875,0.00001,0.041861,68.92517,19.97666,89.17313,0.175863,0.146708,0.00072,0.000013,0.00001,0.001657,0.000007,0.001717,0.000002,0.00706,49.54474,50.12151,100,0.223341,0.219585,0.000845,0.000023,0.000014,0.003298,0.000013,0.00656,0.000011,0.047489,88.67195,89.17313,105,95,151,,,193,,596,,513,1257,,-16729.4,-22766,42, , ,H-24B-Profile1,80.04,19.5908,41,"Monday, April 17, 2023 5:49:33 PM"
1 / 42 . ,82,0.162327,5.898132,0.007532,0.012267,0.007219,0.004215,0.000543,0.001287,0.00001,0.035317,61.8663,24.61715,92.6123,0.210108,7.334142,0.006728,0.013831,0.00629,0.003073,0.000345,0.000327,0.000002,0.005182,38.68756,53.73241,100,0.306717,12.61831,0.009073,0.028109,0.0101,0.007032,0.000701,0.001437,0.000011,0.040065,79.59074,92.6123,109,126,151,209,225,197,311,608,,508,1178,,-16727.4,-22765.8,42, , ,H-24B-Profile1,82.04,18.94045,42,"Monday, April 17, 2023 5:54:22 PM"
1 / 43 . ,84,0.776394,18.73647,0.00668,0.00001,0.005291,0.00001,0.002944,0.00001,0.013377,0.031599,42.93198,34.34873,96.8535,0.796652,18.46966,0.00473,0.000009,0.003655,0.000006,0.001484,0.000002,0.001596,0.003675,21.28307,59.43546,100,1.466992,40.08431,0.008047,0.000023,0.007404,0.000017,0.003802,0.000011,0.015222,0.035847,55.23182,96.8535,106,164,155,,229,,309,,465,496,1051,,-16725.4,-22765.6,42, , ,H-24B-Profile1,84.04,16.67843,43,"Monday, April 17, 2023 5:59:10 PM"
1 / 44 . ,86,0.59847,5.813541,0.019252,0.007135,0.004787,0.00485,0.00001,0.002901,0.004432,0.042498,62.09152,24.97007,93.55946,0.764118,7.130883,0.016963,0.007936,0.004114,0.003488,0.000006,0.000728,0.000658,0.006151,38.30162,53.76333,100,1.130806,12.43734,0.023191,0.01635,0.006698,0.00809,0.000013,0.003239,0.005043,0.048211,79.88049,93.55946,122,125,154,239,223,186,,590,459,503,1215,,-16723.4,-22765.4,42, , ,H-24B-Profile1,86.04,19.08456,44,"Monday, April 17, 2023 6:03:59 PM"
1 / 45 . ,88,4.764945,30.69297,0.066258,0.006078,0.108096,0.00001,0.01398,0.035016,0.006674,0.00001,15.21989,43.64322,94.55714,4.131185,25.56467,0.039643,0.00459,0.063091,0.000005,0.005953,0.005965,0.000673,0.000001,6.37522,63.809,100,9.003334,65.66373,0.079815,0.013927,0.151248,0.000017,0.018052,0.039096,0.007594,0.000011,19.58033,94.55715,115,196,141,232,206,,277,579,419,,761,,-16721.4,-22765.2,42, , ,H-24B-Profile1,88.04,12.42933,45,"Monday, April 17, 2023 6:08:46 PM"
1 / 46 . ,90,4.295679,22.9688,0.042775,0.005391,0.099923,0.00001,0.008974,0.019855,0.00001,0.002596,23.58936,36.81017,87.84354,4.298109,22.07845,0.029536,0.004699,0.067305,0.000006,0.00441,0.003903,0.000001,0.000294,11.40325,62.11004,100,8.116659,49.13885,0.051528,0.012353,0.139812,0.000017,0.011588,0.022168,0.000011,0.002945,30.34761,87.84355,110,165,144,227,215,,285,614,,472,821,,-16719.4,-22765,42, , ,H-24B-Profile1,90.04,12.8968,46,"Monday, April 17, 2023 6:13:37 PM"
1 / 47 . ,92,1.997197,32.48709,0.056054,0.003519,0.055355,0.001978,0.013108,0.033147,0.013793,0.00001,14.45038,42.98042,92.09205,1.771136,27.67748,0.034304,0.002718,0.033047,0.000988,0.005709,0.005775,0.001422,0.000001,6.191233,64.27619,100,3.773691,69.50203,0.067524,0.008062,0.077453,0.0033,0.016926,0.037009,0.015696,0.000011,18.59035,92.09206,93,199,138,208,214,188,271,599,422,,741,,-16717.4,-22764.8,42, , ,H-24B-Profile1,92.04,12.06031,47,"Monday, April 17, 2023 6:18:25 PM"
